K,R,Stats
3,0.2,1.0
3,0.4,1.0
3,0.6,1.0
3,0.8,1.0
3,1.0,1.0
3,1.2,1.0
3,1.4,1.0
3,1.6,1.0
3,1.8,1.0
3,2.0,1.0
3,2.2,1.0
3,2.4,1.0
3,2.6,1.0
3,2.8,1.0
3,3.0,1.0
3,3.2,1.0
3,3.4,1.0
3,3.6,1.0
3,3.8,1.0
3,4.0,0.96
3,4.2,0.6
3,4.4,0.26
3,4.6,0.0
3,4.8,0.0
3,5.0,0.02
3,5.2,0.0
3,5.4,0.0
3,5.6,0.0
3,5.8,0.0
3,6.0,0.0
3,6.2,0.0
3,6.4,0.0
3,6.6,0.0
3,6.8,0.0
3,7.0,0.0
3,7.2,0.0
3,7.4,0.0
3,7.6,0.0
3,7.8,0.0
3,8.0,0.0
3,8.2,0.0
3,8.4,0.0
3,8.6,0.0
3,8.8,0.0
3,9.0,0.0
3,9.2,0.0
3,9.4,0.0
3,9.6,0.0
3,9.8,0.0
3,10.0,0.0
4,0.2,1.0
4,0.4,1.0
4,0.6,1.0
4,0.8,1.0
4,1.0,1.0
4,1.2,1.0
4,1.4,1.0
4,1.6,1.0
4,1.8,1.0
4,2.0,1.0
4,2.2,1.0
4,2.4,1.0
4,2.6,1.0
4,2.8,1.0
4,3.0,1.0
4,3.2,1.0
4,3.4,1.0
4,3.6,1.0
4,3.8,1.0
4,4.0,1.0
4,4.2,1.0
4,4.4,1.0
4,4.6,1.0
4,4.8,1.0
4,5.0,1.0
4,5.2,1.0
4,5.4,1.0
4,5.6,1.0
4,5.8,1.0
4,6.0,1.0
4,6.2,1.0
4,6.4,1.0
4,6.6,1.0
4,6.8,1.0
4,7.0,1.0
4,7.2,1.0
4,7.4,1.0
4,7.6,1.0
4,7.8,1.0
4,8.0,1.0
4,8.2,1.0
4,8.4,1.0
4,8.6,1.0
4,8.8,1.0
4,9.0,1.0
4,9.2,0.37
4,9.4,0.12
4,9.6,0.0
4,9.8,0.0
4,10.0,0.0
5,0.2,1.0
5,0.4,1.0
5,0.6,1.0
5,0.8,1.0
5,1.0,1.0
5,1.2,1.0
5,1.4,1.0
5,1.6,1.0
5,1.8,1.0
5,2.0,1.0
5,2.2,1.0
5,2.4,1.0
5,2.6,1.0
5,2.8,1.0
5,3.0,1.0
5,3.2,1.0
5,3.4,1.0
5,3.6,1.0
5,3.8,1.0
5,4.0,1.0
5,4.2,1.0
5,4.4,1.0
5,4.6,1.0
5,4.8,1.0
5,5.0,1.0
5,5.2,1.0
5,5.4,1.0
5,5.6,1.0
5,5.8,1.0
5,6.0,1.0
5,6.2,1.0
5,6.4,1.0
5,6.6,1.0
5,6.8,1.0
5,7.0,1.0
5,7.2,1.0
5,7.4,1.0
5,7.6,1.0
5,7.8,1.0
5,8.0,1.0
5,8.2,1.0
5,8.4,1.0
5,8.6,1.0
5,8.8,1.0
5,9.0,1.0
5,9.2,1.0
5,9.4,1.0
5,9.6,1.0
5,9.8,1.0
5,10.0,1.0
